span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
282,clarity::user::private,velar-a,33.18,0.01,2,2,0.0,2,0.0
508,clarity::user::read-only,check-max-swap-size,0.43,0.01,26,25,0.3,25,0.2
610,clarity::user::read-only,get-share-price,29.46,0.01,21,9,0.1,9,0.1
645,clarity::user::read-only,split-isolated,35.67,0.01,22,17,0.2,17,0.1
658,clarity::user::public,get-reserve-available-liquidity,59.81,0.01,25,25,0.3,25,0.2
663,clarity::user::read-only,get-base-variable-borrow-rate,30.08,0.01,25,25,0.3,25,0.2
788,clarity::user::private,pow-priv,6.8,0.01,6,1,0.0,1,0.0
884,clarity::user::private,slda2421,56.79,0.01,2,2,0.0,2,0.0
886,clarity::user::private,es6e9714,186.18,0.01,2,2,0.0,2,0.0
887,clarity::user::private,zxd2a865,55.26,0.01,2,2,0.0,2,0.0
913,clarity::user::private,uy16c7ee,50.11,0.01,2,2,0.0,2,0.0
964,clarity::user::private,distribute-epochs-step,37.05,0.01,4,1,0.0,1,0.0
965,clarity::user::private,distribute-epoch,36.99,0.01,4,1,0.0,1,0.0
971,clarity::user::private,do-distribute,2.26,0.01,4,1,0.0,1,0.0
323,clarity::user::read-only,get-soft-blacklist,15.95,0.01,30,30,0.3,30,0.3
327,clarity::user::read-only,get-whitelist,6.81,0.01,19,19,0.2,19,0.2
377,clarity::user::private,ej2465a6,65.89,0.01,2,2,0.0,2,0.0
490,clarity::user::read-only,find-D,68.92,0.01,26,25,0.3,25,0.2
549,clarity::user::private,get-royalty,0.36,0.01,4,4,0.0,4,0.0
558,clarity::user::private,delegate-stack-extend-increase,31.6,0.01,3,3,0.0,3,0.0
642,clarity::user::read-only,emergency-shutdown,28.36,0.01,25,25,0.3,25,0.2
695,clarity::user::private,add-borrowed-asset,2.17,0.01,4,4,0.0,4,0.0
714,clarity::user::private,em525ec5,19.53,0.01,2,2,0.0,2,0.0
789,clarity::user::private,ln-priv,2.91,0.01,6,1,0.0,1,0.0
861,clarity::user::private,hrfc3772,261.97,0.01,2,2,0.0,2,0.0
877,clarity::user::private,mi6eefa0,46.0,0.01,2,2,0.0,2,0.0
888,clarity::user::private,wtd16b89,76.4,0.01,2,2,0.0,2,0.0
955,clarity::user::private,ztc05503,23.3,0.01,3,2,0.0,3,0.0
279,clarity::user::private,xyk-a,55.56,0.01,2,2,0.0,2,0.0
322,clarity::user::read-only,get-soft-blacklist-enabled,8.75,0.01,24,24,0.3,24,0.2
453,clarity::user::read-only,value,201.77,0.01,23,23,0.3,23,0.2
456,clarity::user::read-only,fees-at-block,14.03,0.01,23,23,0.3,23,0.2
497,clarity::user::read-only,find-x,75.37,0.01,26,25,0.3,25,0.2
529,clarity::user::read-only,lookup-user-positions-1,3.57,0.01,23,23,0.3,23,0.2
614,clarity::user::read-only,get-pending-rf,0.81,0.01,34,9,0.1,9,0.1
664,clarity::user::read-only,get-variable-rate-slope-1,25.09,0.01,25,25,0.3,25,0.2
688,clarity::user::read-only,get-asset-e-mode-type,21.0,0.01,29,12,0.1,12,0.1
689,clarity::user::read-only,calculate-health-factor-from-balances,11.82,0.01,17,11,0.1,11,0.1
745,clarity::user::private,get-entitled-staking-reward,14.18,0.01,3,1,0.0,1,0.0
767,clarity::user::private,remove-borrowed-asset,3.79,0.01,3,3,0.0,3,0.0
830,clarity::user::private,interest-util-less-than-kink,1.07,0.01,1,1,0.0,1,0.0
854,clarity::user::private,transfer-lp-token,6.45,0.01,3,3,0.0,3,0.0
193,clarity::user::read-only,calc-epoch,0.14,0.01,14,9,0.1,9,0.1
239,clarity::user::read-only,create-cross-swap-order,0.86,0.01,41,37,0.4,41,0.3
300,clarity::user::read-only,get-cumm-reward,0.46,0.01,12,9,0.1,9,0.1
326,clarity::user::read-only,get-claim,5.47,0.01,24,24,0.3,24,0.2
378,clarity::user::private,jq1ab2af,138.45,0.01,2,2,0.0,2,0.0
455,clarity::user::read-only,query,93.17,0.01,23,23,0.3,23,0.2
554,clarity::user::private,lock-delegated-stx,50.22,0.01,3,3,0.0,3,0.0
659,clarity::user::read-only,calculate-interest-rates,183.54,0.01,25,25,0.3,25,0.2
660,clarity::user::read-only,get-optimal-utilization-rate,25.03,0.01,25,25,0.3,25,0.2
661,clarity::user::read-only,div-precision-to-fixed,10.03,0.01,25,25,0.3,25,0.2
668,clarity::user::read-only,validate-assets,619.69,0.01,12,12,0.1,12,0.1
709,clarity::user::private,pla878a2,23.64,0.01,2,2,0.0,2,0.0
784,clarity::user::private,cyc152b6,10.86,0.01,1,1,0.0,1,0.0
852,clarity::user::private,fold-cycles-to-unstakeable-cycles,3.6,0.01,2,2,0.0,2,0.0
294,clarity::user::read-only,get-saved-rewards,11.74,0.01,18,9,0.1,9,0.1
318,clarity::user::read-only,get-current-claim-id,1.05,0.01,19,19,0.2,19,0.2
321,clarity::user::read-only,get-cooldown-window,3.01,0.01,19,19,0.2,19,0.2
329,clarity::user::read-only,check-is-supported-asset,1.68,0.01,19,19,0.2,19,0.2
331,clarity::user::read-only,get-redeem-fee,4.49,0.01,19,19,0.2,19,0.2
475,clarity::user::read-only,from-amount,0.25,0.01,34,34,0.4,34,0.3
483,clarity::user::private,ooac1969,91.36,0.01,2,2,0.0,2,0.0
506,clarity::user::read-only,div-ratio,0.14,0.01,22,11,0.1,11,0.1
545,clarity::user::private,spoint-mint,13.7,0.01,2,2,0.0,2,0.0
606,clarity::user::private,fkd4b85f,32.9,0.01,2,2,0.0,2,0.0
626,clarity::user::read-only,is-rewards-contract,31.0,0.01,15,14,0.2,15,0.1
685,clarity::user::public,get-user-balance-reserve-data,191.55,0.01,21,11,0.1,11,0.1
696,clarity::user::private,jb7289bc,58.19,0.01,2,2,0.0,2,0.0
796,clarity::user::private,pow-down,3.56,0.01,3,1,0.0,1,0.0
800,clarity::user::private,zfe831fb,275.16,0.01,2,2,0.0,2,0.0
809,clarity::user::private,create-claim,5.01,0.01,2,2,0.0,2,0.0
813,clarity::user::private,get-time-now,0.08,0.01,2,2,0.0,2,0.0
874,clarity::user::private,get-iterator,0.06,0.01,1,1,0.0,1,0.0
903,clarity::user::private,im0521f8,71.57,0.01,1,1,0.0,1,0.0
908,clarity::user::private,add-pox-partial-stacked,13.02,0.01,2,1,0.0,1,0.0
941,clarity::user::private,ue25738a,90.22,0.01,1,1,0.0,1,0.0
962,clarity::user::private,safe-transfer!,7.68,0.01,1,1,0.0,1,0.0
972,clarity::user::private,do-claim,0.31,0.01,4,1,0.0,1,0.0
330,clarity::user::read-only,get-mint-fee,2.21,0.01,19,19,0.2,19,0.2
502,clarity::user::public,get-ratio,84.5,0.01,11,11,0.1,11,0.1
507,clarity::user::read-only,mult-ratio,0.13,0.01,22,11,0.1,11,0.1
531,clarity::user::read-only,unlocked-reserves,2.32,0.01,23,23,0.3,23,0.2
547,clarity::user::read-only,get-mints,3.37,0.01,21,21,0.2,21,0.2
633,clarity::user::read-only,convert-to,51.34,0.01,12,11,0.1,12,0.1
644,clarity::user::read-only,get-user-assets,22.71,0.01,30,17,0.2,17,0.1
716,clarity::user::read-only,is-univ2,0.15,0.01,16,13,0.1,13,0.1
811,clarity::user::private,process-claim,0.58,0.01,2,2,0.0,2,0.0
838,clarity::user::private,decode-pyth,1.22,0.01,2,1,0.0,1,0.0
840,clarity::user::private,convert-res,0.04,0.01,2,1,0.0,1,0.0
867,clarity::user::private,nl1c2740,14.13,0.01,1,1,0.0,1,0.0
881,clarity::user::private,ct01c2bc,35.87,0.01,1,1,0.0,1,0.0
889,clarity::user::private,ep14c330,11.08,0.01,1,1,0.0,1,0.0
891,clarity::user::private,yoca9673,25.89,0.01,1,1,0.0,1,0.0
935,clarity::user::private,ne1b218d,209.27,0.01,1,1,0.0,1,0.0
939,clarity::user::private,swap-stx-to-sbtc,19.41,0.01,3,3,0.0,3,0.0
959,clarity::user::private,create-unlock,1.33,0.01,1,1,0.0,1,0.0
973,clarity::user::private,set-vault-rewards,1.77,0.01,2,1,0.0,1,0.0
317,clarity::user::read-only,get-usdh-per-susdh,17.33,0.01,24,24,0.3,24,0.2
