span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
403,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,set_block_hash,392.37,5.33,9216,60,0.4,60,0.2
1156,clarity::user::private,convert-to-assets-preview,20077.08,5.14,3704,93,0.6,93,0.3
1051,clarity::user::private,total-supply,331.19,5.14,5332,165,1.1,167,0.5
20,blockstack_lib::clarity_vm::database::marf::ReadOnlyMarfStore,get_block_at_height,6569.79,5.08,15000,15000,100.0,0,0.0
36,blockstack_lib::chainstate::stacks::index::trie_sql,get_unconfirmed_block_identifier,4.55,4.55,30000,15000,100.0,0,0.0
1258,clarity::user::private,create-one-listing-iter,716.63,4.5,2000,16,0.1,20,0.1
350,clarity::user::private,batch-check-active-public-keys,41.76,4.39,806,54,0.4,54,0.2
70,clarity::vm::clarity::TransactionConnection,run_stx_transfer,5520.53,4.38,14303,11881,79.2,14303,46.3
1116,clarity::user::private,iter-uint-to-list-u64,32.1,4.31,1856,29,0.2,29,0.1
155,clarity::user::private,is-digit,70.58,3.85,2927,251,1.7,256,0.8
396,clarity::user::private,sl,41.28,3.84,1347,308,2.1,402,1.3
369,clarity::user::private,keccak160,17.68,3.76,2114,54,0.4,54,0.2
1414,clarity::user::private,collect-fee,173.34,3.75,424,424,2.8,424,1.4
1080,clarity::user::private,calc-treasury-lp-preview,13037.29,3.74,3746,129,0.9,131,0.4
1034,clarity::user::read-only,get-available-assets,1807.77,3.74,12049,167,1.1,169,0.5
151,clarity::user::private,is-vowel,37.86,3.65,2788,251,1.7,256,0.8
221,clarity::builtin,stx-account,1978.81,3.65,883,89,0.6,91,0.3
156,clarity::user::private,is-special-char,17.93,3.52,2741,251,1.7,256,0.8
154,clarity::user::private,is-nonalpha,105.42,3.51,2788,251,1.7,256,0.8
1079,clarity::user::private,total-supply-preview,13317.85,3.51,3746,129,0.9,131,0.4
163,clarity::user::private,is-char-valid,104.81,3.49,2724,249,1.7,254,0.8
164,clarity::user::private,is-lowercase-alpha,84.65,3.47,2724,249,1.7,254,0.8
385,clarity::user::private,div-down,19.41,3.38,1763,142,0.9,168,0.5
1351,clarity::user::private,capture-participant-snapshot,81189.52,3.21,755,59,0.4,59,0.2
371,clarity::user::private,hash-nodes,82.5,3.18,1963,54,0.4,54,0.2
1018,clarity::user::private,subset,16.57,3.13,1823,116,0.8,117,0.4
571,clarity::user::private,find-current-tenure-anchor,6.31,2.99,2100,1,0.0,1,0.0
1006,clarity::user::private,mask-pos,9.45,2.96,1639,128,0.9,130,0.4
1016,clarity::user::private,relevant,40.13,2.95,1406,106,0.7,106,0.3
569,clarity::user::private,find-previous-tenure-anchor,6.24,2.93,2100,1,0.0,1,0.0
1012,clarity::user::private,mask-to-list-collateral,900.52,2.92,926,115,0.8,115,0.4
1155,clarity::user::private,get-balance-internal,2731.48,2.84,1865,93,0.6,93,0.3
226,clarity::user::private,update-value,76.32,2.79,817,152,1.0,152,0.5
1350,clarity::user::private,capture-participant-balances-optimizer,81439.8,2.74,755,59,0.4,59,0.2
568,clarity::builtin,get-tenure-info?,7.33,2.69,5,3,0.0,3,0.0
1021,clarity::user::private,mask-to-list-debt,864.88,2.65,897,115,0.8,115,0.4
205,clarity::user::private,uint-to-buff-iter,26.13,2.65,1536,4,0.0,4,0.0
416,clarity::user::private,get-scaled-down-token-amounts,17.2,2.49,896,122,0.8,122,0.4
426,clarity::user::private,scale-down-amounts,817.74,2.42,717,189,1.3,202,0.7
1182,clarity::user::private,compute-levy,2.8,2.33,324,270,1.8,324,1.0
346,clarity::user::private,read-uint-64,14.97,2.33,666,54,0.4,54,0.2
715,clarity::user::private,swap,2042.49,2.14,281,70,0.5,71,0.2
187,clarity::user::private,update-reserves,241.9,2.08,882,293,2.0,359,1.2
551,clarity::builtin,nft-transfer?,47.94,2.06,234,233,1.6,234,0.8
1050,clarity::user::private,mul-bps-down,2.88,2.02,446,100,0.7,102,0.3
167,clarity::builtin,stx-burn?,69.19,2.0,256,251,1.7,256,0.8
185,clarity::user::private,update-revenue,200.17,1.96,829,274,1.8,334,1.1
1015,clarity::user::private,iter-lookup-collateral,427.75,1.96,827,106,0.7,106,0.3
145,clarity::user::private,get-exp-at-index,2.38,1.95,258,251,1.7,256,0.8
388,clarity::user::private,get-price-internal,391.91,1.94,830,109,0.7,135,0.4
348,clarity::user::private,empty-key,4.8,1.9,806,54,0.4,54,0.2
1101,clarity::user::private,calculate-fee,4.36,1.82,282,89,0.6,282,0.9
427,clarity::user::private,scale-up-amounts,849.26,1.77,482,192,1.3,205,0.7
1188,clarity::user::private,find-collateral-amount-iter,8.6,1.76,769,49,0.3,49,0.2
704,clarity::user::private,get-byte,2.08,1.75,286,61,0.4,67,0.2
418,clarity::user::private,get-scaled-up-token-amounts,11.77,1.74,601,123,0.8,123,0.4
208,clarity::builtin,keccak256,1.85,1.65,2261,68,0.5,68,0.2
493,clarity::user::read-only,done,71.12,1.57,5858,20,0.1,21,0.1
344,clarity::user::private,read-uint-16,7.81,1.57,337,54,0.4,54,0.2
360,clarity::user::private,read-int-64,7.83,1.55,302,54,0.4,54,0.2
988,clarity::user::private,fold-swap-simple-multi,6272.73,1.53,290,263,1.8,287,0.9
347,clarity::user::private,recover-public-key,33.86,1.48,806,54,0.4,54,0.2
139,clarity::builtin,is-none,1.46,1.46,4349,1887,12.6,2058,6.7
41,blockstack_lib::chainstate::stacks::index::trie_sql,lock_bhh_for_extension,21.98,1.44,30000,15000,100.0,0,0.0
398,clarity::user::public,sw,58273.01,1.44,3748,212,1.4,268,0.9
1090,clarity::user::private,iter-find-superset,64.63,1.36,723,36,0.2,37,0.1
1022,clarity::user::private,iter-lookup-debt,298.19,1.34,579,79,0.5,79,0.3
392,clarity::user::private,check-is-approved-token,228.5,1.29,471,118,0.8,144,0.5
140,clarity::user::private,compute-name-price,172.81,1.25,258,251,1.7,256,0.8
176,clarity::builtin,principal-destruct?,1.23,1.2,318,302,2.0,315,1.0
173,clarity::user::private,transfer-aggregator-fees,3863.73,1.12,317,301,2.0,314,1.0
343,clarity::user::private,read-one-signature,27.86,1.08,806,54,0.4,54,0.2
288,clarity::user::private,xyk-sa,6349.86,1.07,246,196,1.3,202,0.7
851,clarity::user::private,filter-values-lte-helper-value,4.58,1.04,857,11,0.1,11,0.0
345,clarity::user::private,read-buff-32,3.04,1.0,213,54,0.4,54,0.2
1290,clarity::user::private,check-not-paused,56.68,0.99,286,285,1.9,286,0.9
998,clarity::user::private,fold-add-relative-liquidity-same-multi,1717.18,0.96,237,54,0.4,58,0.2
